word,meaning,meaning_vi,phonetics,note,example,type,level
fly,"the action of moving through the air, either by using wings or other means of propulsion such as an airplane, helicopter, or rocket","bay, bay lên",/flaɪ/,"the action of moving through the air, either by using wings or other means of propulsion such as an airplane, helicopter, or rocket",The poor bird couldn't fly because it had a broken wing.,verb,A1
article,"a piece of writing about a particular subject in a newspaper or magazine, on a website, etc.","đồ, thứ, vật phẩm; hàng",/ˈɑːtɪkl/,"a piece of writing about a particular subject in a newspaper or magazine, on a website, etc.",to read/write/publish an article,,
above,at or to a higher place or position than something/somebody,trên (ở một điểm cao hơn),/əˈbʌv/,at or to a higher place or position than something/somebody,The birds were flying above the clouds.,preposition,A1
across,from one side to the other side of something,"qua, ngang qua",/əˈkrɒs/,from one side to the other side of something,He walked across the field.,preposition,A1
action,the process of doing something in order to make something happen or to deal with a situation,"hoạt động, hành động",/ˈækʃn/,the process of doing something in order to make something happen or to deal with a situation,The time has come for action if these beautiful animals are to survive.,noun,A1
activity,a thing that somebody does in order to achieve a particular aim,hoạt động,/ækˈtɪvəti/,a thing that somebody does in order to achieve a particular aim,Physical activity is important for maintaining a healthy lifestyle.,noun,A1
actor,"a person who performs on the stage, on television or in films, especially as a profession",diễn viên,/ˈæktə(r)/,"a person who performs on the stage, on television or in films, especially as a profession",The actor delivered an incredible performance in the play.,noun,A1
actress,"a woman who performs on the stage, on television or in films, especially as a profession",nữ diễn viên,/ˈæktrəs/,"a woman who performs on the stage, on television or in films, especially as a profession",We will hold auditions to find a talented young actor or actress for the role.,noun,A1
add,"to put something together with something else so as to increase the size, number, amount, etc.",thêm,/æd/,"to put something together with something else so as to increase the size, number, amount, etc.",Next add the flour.,verb,A1
address,"details of where somebody lives or works and where letters, etc. can be sent",địa chỉ,/əˈdres/,"details of where somebody lives or works and where letters, etc. can be sent",What's your name and address?,noun,A1
adult,a fully grown person who is legally responsible for their actions,"người lớn, người đã trưởng thành",/ˈædʌlt/ /əˈdʌlt/,a fully grown person who is legally responsible for their actions,Children must be accompanied by an adult.,noun,A1
advice,an opinion or a suggestion about what somebody should do in a particular situation,lời khuyên,/ədˈvaɪs/,an opinion or a suggestion about what somebody should do in a particular situation,I would appreciate your advice on how to handle this situation.,noun,A1
afraid,feeling fear; frightened because you think that you might be hurt or suffer,"sợ hãi, hoảng sợ",/əˈfreɪd/,feeling fear; frightened because you think that you might be hurt or suffer,Don't be afraid.,adjective,A1
after,later than something; following something in time,sau,/ˈɑːftə(r)/,later than something; following something in time,We'll leave after lunch.,preposition,A1
afternoon,the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening,buổi chiều,/ˌɑːftəˈnuːn/,the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening,I play soccer with my friends every afternoon.,noun,A1
again,one more time; on another occasion,"lại, lần nữa, nữa",/əˈɡen/ /əˈɡeɪn/,one more time; on another occasion,This must never happen again.,adverb,A1
agree,to have the same opinion as somebody; to say that you have the same opinion,"đồng ý, tán thành; thỏa thuận",/əˈɡriː/,to have the same opinion as somebody; to say that you have the same opinion,"When he said that, I had to agree.",verb,A1
air,the mixture of gases that surrounds the earth and that we breathe,"không khí, bầu không khí, không trung",/eə(r)/,the mixture of gases that surrounds the earth and that we breathe,Let's go out for some fresh air.,noun,A1
airport,a place where planes land and take off and that has buildings for passengers to wait in,sân bay,/ˈeəpɔːt/,a place where planes land and take off and that has buildings for passengers to wait in,I need to arrive at the airport at least two hours before my flight.,noun,A1
always,at all times; on every occasion,luôn luôn,/ˈɔːlweɪz/,at all times; on every occasion,There's almost always somebody at home in the evenings.,adverb,A1
amazing,"very surprising, especially in a way that you like or admire","làm kinh ngạc, làm sửng sốt, làm hết sức ngạc nhiên",/əˈmeɪzɪŋ/,"very surprising, especially in a way that you like or admire",The view from the top of the mountain was absolutely amazing.,adjective,A1
angry,having strong feelings about something that you dislike very much or about an unfair situation,"giận, tức giận, cáu",/ˈæŋɡri/,having strong feelings about something that you dislike very much or about an unfair situation,Her behaviour really made me angry.,adjective,A1
animal,"a creature that is not a bird, a fish, a reptile, an insect or a human",động vật,/ˈænɪml/,"a creature that is not a bird, a fish, a reptile, an insect or a human",My favorite animal is the elephant because of their intelligence and gentle nature.,noun,A1
another,one more; an extra thing or person,"(người hoặc vật) khác nữa, thêm nữa",/əˈnʌðə(r)/,one more; an extra thing or person,Would you like another drink?,"determiner, pronoun",A1
answer,"something that you say, write or do to react to a question or situation","câu trả lời, thư trả lời, lời đối đáp",/ˈɑːnsə(r)/,"something that you say, write or do to react to a question or situation","I rang the bell, but there was no answer.",noun,A1
anyone,"used instead of someone in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc.","bất cứ ai, bất kì ai",/ˈeniwʌn/,"used instead of someone in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc.",Is anyone there?,pronoun,A1
anything,"used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc.","bất cứ cái gì, bất kì cái gì (trong câu phủ định và câu hỏi)",/ˈeniθɪŋ/,"used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc.",Would you like anything else?,pronoun,A1
apartment,"a set of rooms for living in, usually on one floor of a building",căn hộ,/əˈpɑːtmənt/,"a set of rooms for living in, usually on one floor of a building",I'm moving into a new apartment next week.,noun,A1
apple,a round fruit with shiny red or green skin that is fairly hard and white inside,quả táo,/ˈæpl/,a round fruit with shiny red or green skin that is fairly hard and white inside,I like to eat a juicy apple for a healthy snack.,noun,A1
area,"part of a place, town, etc., or a region of a country or the world","vùng, khu vực",/ˈeəriə/,"part of a place, town, etc., or a region of a country or the world",I'm not very familiar with this area of town.,noun,A1
arm,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands,cánh tay,/ɑːm/,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands,He escaped with only a broken arm.,noun,A1
around,surrounding somebody/something; on each side of something,"xung quanh, vòng quanh",/əˈraʊnd/,surrounding somebody/something; on each side of something,The house is built around a central courtyard.,preposition,A1
arrive,"to get to a place, especially at the end of a journey","đến, tới nơi",/əˈraɪv/,"to get to a place, especially at the end of a journey",I'll wait until they arrive.,verb,A1
art,"the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture","nghệ thuật, hội họa",/ɑːt/,"the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture",I love going to museums and admiring different forms of art.,noun,A1
artist,"a person who creates works of art, especially paintings or drawings","nghệ sĩ, người làm nghệ thuật, họa sĩ",/ˈɑːtɪst/,"a person who creates works of art, especially paintings or drawings",The artist created a beautiful painting that sold for millions of dollars.,noun,A1
ask,"to say or write something in the form of a question, in order to get information",hỏi,/ɑːsk/,"to say or write something in the form of a question, in order to get information","If you have any questions, don't hesitate to ask.",verb,A1
aunt,the sister of your father or mother; the wife of your uncle,"cô, dì, thím, mợ, bác gái",/ɑːnt/,the sister of your father or mother; the wife of your uncle,Alice is my aunt.,noun,A1
autumn,"the season of the year between summer and winter, when leaves change colour and the weather becomes colder",mùa thu,/ˈɔːtəm/,"the season of the year between summer and winter, when leaves change colour and the weather becomes colder",I love to go for walks and admire the beautiful colors of the leaves during autumn.,noun,A1
away,to or at a distance from somebody/something in space or time,"xa, cách xa",/əˈweɪ/,to or at a distance from somebody/something in space or time,The beach is a mile away.,adverb,A1
baby,a very young child or animal,em bé; con vật con,/ˈbeɪbi/,a very young child or animal,The baby's crying!,noun,A1
back,"the part of the human body that is on the opposite side to the chest, between the neck and the tops of the legs; the part of an animal’s body that corresponds to this",lưng,/bæk/,"the part of the human body that is on the opposite side to the chest, between the neck and the tops of the legs; the part of an animal’s body that corresponds to this",He was lying on his back on the sofa.,noun,A1
bag,"a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling","bao, túi, bị",/bæɡ/,"a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling",He was carrying a heavy bag of groceries.,noun,A1
ball,"a round object used for throwing, hitting or kicking in games and sports",quả bóng,/bɔːl/,"a round object used for throwing, hitting or kicking in games and sports",I used to love playing ball games with my friends at the park.,noun,A1
banana,"a long curved fruit with a thick yellow skin and that is soft inside, which grows on trees in hot countries","quả chuối, cây chuối",/bəˈnɑːnə/,"a long curved fruit with a thick yellow skin and that is soft inside, which grows on trees in hot countries",My younger brother loves eating banana.,noun,A1
band,"a group of musicians who play instruments or sing together, often for live performances or recorded music",ban nhạc,/bænd/,"a group of musicians who play instruments or sing together, often for live performances or recorded music",I went to see my favorite band in concert last night.,noun,A1
bank,"a financial institution that accepts deposits from customers and uses those funds to make loans, invest in securities, and provide other financial services to individuals and businesses",ngân hàng,/bæŋk/,"a financial institution that accepts deposits from customers and uses those funds to make loans, invest in securities, and provide other financial services to individuals and businesses",I don't have much money in the bank at the end of the month.,noun,A1
bath,a large container filled with water for the purpose of washing and relaxing the body,bồn tắm,/bɑːθ/,a large container filled with water for the purpose of washing and relaxing the body,I'm in the bath!,noun,A1
bathroom,"a room in which there is a bath, a washbasin and often a toilet",phòng tắm,/ˈbɑːθruːm/ /ˈbɑːθrʊm/,"a room in which there is a bath, a washbasin and often a toilet",Go and wash your hands in the bathroom.,noun,A1
beach,"an area of sand or small stones (called shingle), next to the sea or a lake",bãi biển,/biːtʃ/,"an area of sand or small stones (called shingle), next to the sea or a lake",I love going to the beach on a hot summer day.,noun,A1
beautiful,having beauty; giving pleasure to the senses or to the mind,xinh đẹp,/ˈbjuːtɪfl/,having beauty; giving pleasure to the senses or to the mind,Linda is so beautiful.,adjective,A1
because,for the reason that,"vì, bởi vì",/bɪˈkəz/ /bɪˈkɒz/,for the reason that,I did it because he told me to.,conjunction,A1
